"Version control","Versionsverwaltung"
"Perform updates","Updates durchführen"
"Number of revisions per page","Commit-Anzahl pro Seite"
"Bug tracker","Projektmanager"
"Customize the login page","Loginseite personalisieren"
"From Magento 1.7.","Ab Magento 1.7."
"Maintenance pages","Wartungsseite"
"[special] = all languages of all stores views.<br />The <em>maintenance.flag</em> page takes priority over the <em>upgrade.flag</em> page.","[besondere] = Alle Sprachen aus allen StoreView.<br />Die Seite <em lang=""en"">maintenance.flag</em> ist vorrangig auf die Seite <em lang=""en"">upgrade.flag</em>."
"Error 503 (maintenance.flag)","Fehler 503 (<span lang=""en"">maintenance.flag</span>)"
"Page title","Seitentitel"
"Main title","Haupttitel"
"Content text or <abbr title=""HyperText Markup Language"">HTML</abbr>","Textinhalt oder <abbr title=""Hypertext-Auszeichnungssprache (HyperText Markup Language)"">HTML</abbr>"
"Text with automatic reload period","Text mit automatischer Ladungsfrist"
"Use <strong>[10]</strong> for a 10-seconds delay.","Für einen 10-Sekunden-Frist <strong>[10]</strong> benutzen."
"Disable the page from these IP addresses","Ab den folgenden IP-Adressen Seite deaktivieren"
"Separate addresses by a space.","E-Mail-Adressen durch einen Abstand trennen."
"Your IP address","Ihre IP-Adresse"
"Update (upgrade.flag)","Update (<span lang=""en"">upgrade.flag</span>)"
"Error report","Fehlerbericht"
"Send report by email to","Bericht an per E-Mail senden"
"System error 404","Systemfehler 404"
"Version control / Tools / Magento Admin","Versionsverwaltung / Hilfsmittel / Magento Administration"
"[SPECIAL]","[BESONDERE]"
"Preview in %s","Ansicht in %s"
"Updates history (<span id=""scmtype"">%s</span>, %s)","History Update (<span id=""scmtype"">%s</span>, %s)"
"Updates history (<span id=""scmtype"">%s</span>)","History Update (<span id=""scmtype"">%s</span>)"
"Repository status","Repository Status"
"Current revision","Aktuelle Überarbeitung"
"Requested revision","Angefragte Überarbeitung"
"Branch","Zweig"
"IP address","IP Adresse"
"Duration","Dauer"
" Success","Beendet"
" Error","In Fehler"
"Revisions history (<span id=""scmtype"">%s</span>, %s)","Commits History (<span id=""scmtype"">%s</span>, %s)"
"Revisions history (<span id=""scmtype"">%s</span>)","Commits History (<span id=""scmtype"">%s</span>)"
"Show diff","Diff anzeigen"
"Updates history","History Update"
"Remove the maintenance page","Wartungsseite entfernen"
"Enable the maintenance page","Wartungsseite aktivieren"
"Remove the update page","Update Seite entfernen"
"Enable the update page","Update Seite aktivieren"
"Martian sunset seen by Spirit.","Vom Spirit gesehener Sonnenuntergang auf Mars."
"Revision","Überarbeitung"
"Diff","Diff"
"Graph","Schaubild"
"Author","Verfasser"
"Update to revision %s","Update zur Überarbeitung %s"
"Deliver","Liefern"
"Differences between revisions %s and %s (<span id=""scmtype"">%s</span>, %s)","Unterschiede zwischen den Überarbeitungen %s und %s (<span id=""scmtype"">%s</span>, %s)"
"Differences between revisions %s and %s (<span id=""scmtype"">%s</span>)","Unterschiede zwischen den Überarbeitungen %s und %s (<span id=""scmtype"">%s</span>)"
"Repository status (<span id=""scmtype"">%s</span>, %s)","Repository Status (<span id=""scmtype"">%s</span>, %s)"
"Repository status (<span id=""scmtype"">%s</span>)","Repository Status (<span id=""scmtype"">%s</span>)"
"Use update page","Update Seite benutzen"
"Are you sure you want to launch the update process?<br />Be careful, you can't cancel this operation.","Sind sie sicher, den Update-Prozess starten zu wollen?<br />Achtung, dieser Vorgang kann nicht abgebrochen werden."
"Are you sure you want to enable the maintenance page?","Sind Sie sicher, die Wartungsseite aktivieren zu wollen?"
"Your IP address: <strong>%s</strong>","Ihre IP Adresse: <strong>%s</strong>"
"<strong>Nobody</strong> will have access to the frontend.","<strong>Niemand</strong> hat Zugriff zum Frontend."
"<strong>You will have</strong> access to the frontend.","<strong>Sie haben</strong> Zugriff zum Frontend."
"<strong>You will not have</strong> access to the frontend.","<strong>Sie haben keinen</strong> Zugriff zum Frontend."
"Are you sure you want to enable the update page?","Sind Sie sicher, die Update Seite aktivieren zu wollen?"
"Stop! Stop! Stop! An update is in progress.","Stop! Stop! Stop! Update ist schon im Laufe."
"new file:-------","neue Datei:-----"
"copied:---------","kopiert:--------"
"deleted:--------","gelöscht:-------"
"modified:-------","geändert:-------"
"renamed:--------","umbenannt:------"
"type changed:---","Typänderung:----"
"unmerged:-------","nicht gemerged:-"
"unknown:--------","unbekannt:------"
"pairing broken:-","pairing broken:-"
"For the current diff","Für den aktuellen diff"
"%s (not available)","%s (nicht verfügbar)"
"1) Locking and configuration check","1) Verriegelung und Überprüfung der Konfiguration"
"Repository: %s / Branch: %s / Current revision: %s / Requested revision: %s","Repository: %s / Zweig: %s / Aktuelle Überarbeitung: %s / Angefragte Überarbeitung: %s"
"Repository: %s / Current revision: %s / Requested revision: %s","Repository: %s / Aktuelle Überarbeitung: %s / Angefragte Überarbeitung: %s"
"2) Updating","2) Update"
"3) Cache","3) Cache"
"4) Unlocking","4) Entriegelung"
"Update completed (revision %s)","Update beendet (Überarbeitung %s)"
"Update to revision %s completed.","Update zur Überarbeitung %s beendet."
"Update error (revision %s)","Update gescheitert (Überarbeitung %s)"
"Please wait, an update is in progress.","Bitte warten, Update ist im Laufe."
"You are not authorized to perform this operation.","Sie sind nicht erlaubt, diesen Vorgang durchzuführen."
"Please configure the module before using it.","Konfigurieren Sie den Modul vor Benutzung."
"Updating","Update"
"Starting update (revision %s)","Beginn der Update (Überarbeitung %s)"
"Do not touch anything / Do not try to cancel this operation","Nichts mehr bewegen / Versuchen Sie nicht, diese Verarbeitung zu annullieren"
"Back to Magento in one second","Zurück auf Magento in einer Sekunde"
"error404_pagetitle","Ups"
"error404_title","Seite unfindbar"
"error404_content","<p>Die angefragte Seite existiert nicht oder nicht mehr.</p>"
"error503_pagetitle","Ups"
"error503_title","Service vorübergehend nicht zugänglich"
"error503_content","<p>Der Server ist wegen Wartungsarbeiten oder technischer Probleme vorübergehend nicht verfügbar.</p>"
"upgrade_pagetitle","Ups"
"upgrade_title","Service vorübergehend nicht zugänglich"
"upgrade_content","<p>Der Server ist wegen Wartungsarbeiten vorübergehend nicht verfügbar.</p>"
"report_pagetitle","Ups"
"report_title","Es gab einen Fehler während der Bearbeitung Ihrer Anfrage"
"report_content","<p>Der Server ist aufgrund eines technischen Problems vorübergehend nicht verfügbar.</p>"
"Error number: §","Fehlernummer: §"
