"Version control","Controle de versão"
"Perform updates","Efetuar as atualizações"
"Number of revisions per page","Número de commits por página"
"Bug tracker","Gestor de projeto"
"Customize the login page","Personalizar a página de ligação"
"From Magento 1.7.","A partir de Magento 1.7."
"Maintenance pages","Páginas de manutenção"
"[special] = all languages of all stores views.<br />The <em>maintenance.flag</em> page takes priority over the <em>upgrade.flag</em> page.","[especial] = todas as línguas de todas as visualizações lojas.<br />A página <em lang=""en"">maintenance.flag</em> tem prioridade sobre a página <em lang=""en"">upgrade.flag</em>."
"Error 503 (maintenance.flag)","Erro 503 (<span lang=""en"">maintenance.flag</span>)"
"Page title","Título da página"
"Main title","Título principal"
"Content text or <abbr title=""HyperText Markup Language"">HTML</abbr>","Contido texto ou <abbr title=""Linguagem de marcação de hipertexto (HyperText Markup Language)"">HTML</abbr>"
"Text with automatic reload period","Texto com período de recarga automática"
"Use <strong>[10]</strong> for a 10-seconds delay.","Usar <strong>[10]</strong> por 10 segundos de prazo."
"Disable the page from these IP addresses","Desativar a página a partir dos endereços IP seguintes"
"Separate addresses by a space.","Separar os endereços por um espaço."
"Your IP address","O seu endereço IP"
"Update (upgrade.flag)","Atualização (<span lang=""en"">upgrade.flag</span>)"
"Error report","Relatório de erro"
"Send report by email to","Enviar o relatório por e-mail a"
"System error 404","Erro 404 sistema"
"Version control / Tools / Magento Admin","Controle de versão / Ferramentas / Admin do Magento"
"[SPECIAL]","[ESPECIAL]"
"Preview in %s","Visualização em %s"
"Updates history (<span id=""scmtype"">%s</span>, %s)","Histórico das atualizações (<span id=""scmtype"">%s</span>, %s)"
"Updates history (<span id=""scmtype"">%s</span>)","Histórico das atualizações (<span id=""scmtype"">%s</span>)"
"Repository status","Estado do depósito"
"Current revision","Revisão atual"
"Requested revision","Revisão pedida"
"Branch","Ramo"
"IP address","Endereço IP"
"Duration","Duração"
" Success","Concluída"
" Error","Erro"
"Revisions history (<span id=""scmtype"">%s</span>, %s)","Histórico dos commits (<span id=""scmtype"">%s</span>, %s)"
"Revisions history (<span id=""scmtype"">%s</span>)","Histórico dos commits (<span id=""scmtype"">%s</span>)"
"Show diff","Afixar o diff"
"Updates history","Histórico das atualizações"
"Remove the maintenance page","Remover a página de manutenção"
"Enable the maintenance page","Ativar a página de manutenção"
"Remove the update page","Remover a página de atualização"
"Enable the update page","Ativar a página de atualização"
"Martian sunset seen by Spirit.","Por-do-sol em Marte visto por Spirit."
"Revision","Revisão"
"Diff","Diff"
"Graph","Gráfico"
"Author","Autor"
"Update to revision %s","Atualização para a revisão %s"
"Deliver","Entregar"
"Differences between revisions %s and %s (<span id=""scmtype"">%s</span>, %s)","Diferenças entre as revisões %s e %s (<span id=""scmtype"">%s</span>, %s)"
"Differences between revisions %s and %s (<span id=""scmtype"">%s</span>)","Diferenças entre as revisões %s e %s (<span id=""scmtype"">%s</span>)"
"Repository status (<span id=""scmtype"">%s</span>, %s)","Estado do depósito (<span id=""scmtype"">%s</span>, %s)"
"Repository status (<span id=""scmtype"">%s</span>)","Estado do depósito (<span id=""scmtype"">%s</span>)"
"Use update page","Utilizar a página de atualização"
"Are you sure you want to launch the update process?<br />Be careful, you can't cancel this operation.","Tem certeza de querer lançar o processo de atualização?<br />Cuidado, esta operação não pode ser cancelada."
"Are you sure you want to enable the maintenance page?","Tem certeza de querer ativar a página de manutenção?"
"Your IP address: <strong>%s</strong>","O seu endereço IP: <strong>%s</strong>"
"<strong>Nobody</strong> will have access to the frontend.","<strong>Ninguém</strong> terá acesso ao front-office."
"<strong>You will have</strong> access to the frontend.","<strong>Terá</strong> acesso ao front-office."
"<strong>You will not have</strong> access to the frontend.","<strong>Não terá</strong> acesso ao front-office."
"Are you sure you want to enable the update page?","Tem certeza de querer ativar a página de atualização?"
"Stop! Stop! Stop! An update is in progress.","Pare! Pare! Pare! Uma atualização já está em processo."
"new file:-------","novo ficheiro:--"
"copied:---------","copiado:--------"
"deleted:--------","eliminado:------"
"modified:-------","modificado:-----"
"renamed:--------","nome mudado:----"
"type changed:---","tipo alterado:--"
"unmerged:-------","não integrado:--"
"unknown:--------","desconhecido:---"
"pairing broken:-","pairing broken:-"
"For the current diff","Para o diff atual"
"%s (not available)","%s (não está disponível)"
"1) Locking and configuration check","1) Bloqueio e verificação da configuração"
"Repository: %s / Branch: %s / Current revision: %s / Requested revision: %s","Depósito: %s / Ramo: %s / Revisão atual: %s / Revisão pedida: %s"
"Repository: %s / Current revision: %s / Requested revision: %s","Depósito: %s / Revisão atual: %s / Revisão pedida: %s"
"2) Updating","2) Atualização"
"3) Cache","3) Cache"
"4) Unlocking","4) Desbloqueio"
"Update completed (revision %s)","Atualização concluída (revisão %s)"
"Update to revision %s completed.","Atualização para a revisão %s concluída."
"Update error (revision %s)","Falha na atualização (revisão %s)"
"Please wait, an update is in progress.","Por favor aguarde, uma atualização está em processo."
"You are not authorized to perform this operation.","Não está autorizado a efetuar esta operação."
"Please configure the module before using it.","Por favor configure o módulo antes de utilizá-lo."
"Updating","Atualização"
"Starting update (revision %s)","Início da atualização (revisão %s)"
"Do not touch anything / Do not try to cancel this operation","Não toque mais em nada / Não tente cancelar esta operação"
"Back to Magento in one second","Retorno em Magento num segundo"
"error404_pagetitle","Ups"
"error404_title","Página não encontrada"
"error404_content","<p>A página pedida não existe ou já não existe.</p>"
"error503_pagetitle","Ups"
"error503_title","Serviço temporariamente indisponível"
"error503_content","<p>O servidor está temporariamente indisponível devido a uma operação de manutenção ou a um problema técnico.</p>"
"upgrade_pagetitle","Ups"
"upgrade_title","Serviço temporariamente indisponível"
"upgrade_content","<p>O servidor está temporariamente indisponível devido a uma operação de manutenção.</p>"
"report_pagetitle","Ups"
"report_title","Houve um erro no tratamento do seu pedido"
"report_content","<p>O servidor está temporariamente indisponível devido a um problema técnico.</p>"
"Error number: §","Erro número: §"
