"Page title","Tytuł strony"
"INCOMPLETE MODULE INSTALLATION","NIEKOMPLETNA INSTALACJA MODUŁU"
"Changes in <em>%s</em> are not present. Please read the documentation.","Wystąpił błąd (<em>%s</em>)."
"IP address","Adres IP"
"Duration","Trwanie"
" Error","Błąd"
"Author","Autor"
"new file:-------","nowy plik:-------"
"copied:---------","skopiowano:------"
"deleted:--------","usunięto:--------"
"modified:-------","zmieniono:-------"
"renamed:--------","zmieniono nazwę:-"
"type changed:---","zmiana typu:-----"
"unmerged:-------","niescalone:------"
"unknown:--------","nieznane:--------"
"pairing broken:-","pairing broken:--"
"error404_pagetitle","Ups"
"error404_title","Nie znaleziono strony"
"error503_pagetitle","Ups"
"upgrade_pagetitle","Ups"
"report_pagetitle","Ups"