"Page title","Sayfa başlığı"
"IP address","IP adresi"
"Duration","Süre"
" Error","Hata"
"Author","Yazar"
"new file:-------","yeni dosya:-----------"
"copied:---------","kopyalandı:-----------"
"deleted:--------","silindi:--------------"
"modified:-------","değiştirildi:---------"
"renamed:--------","yeniden adlandırıldı:-"
"type changed:---","türü değiştirildi:----"
"unmerged:-------","birleştirilmedi:------"
"unknown:--------","bilinmiyor:-----------"
"pairing broken:-","pairing broken:-------"
"error404_title","Sayfa bulunamadı"